Day Week Ends On,Sort County x Week,County,Count Confirmed Cases Suppressed if 1-4,Count Probable Cases Suppressed if 1-4,Count Hospitalized Cases Suppressed if 1-4,Count Deceased Cases Suppressed if 1-4
10/31/2020 12:00:00 AM,298,Anderson,387,45,17,<5
11/7/2020 12:00:00 AM,299,Anderson,386,29,14,<5
11/14/2020 12:00:00 AM,300,Anderson,573,61,20,5
11/21/2020 12:00:00 AM,301,Anderson,467,62,9,9
11/28/2020 12:00:00 AM,302,Anderson,502,38,11,6
12/5/2020 12:00:00 AM,303,Anderson,761,28,31,13
12/12/2020 12:00:00 AM,304,Anderson,844,71,21,12
12/19/2020 12:00:00 AM,305,Anderson,976,92,20,14
12/26/2020 12:00:00 AM,306,Anderson,968,123,25,16
1/2/2021 12:00:00 AM,307,Anderson,1061,232,29,12
1/9/2021 12:00:00 AM,308,Anderson,1226,280,35,19
1/16/2021 12:00:00 AM,309,Anderson,1341,248,48,34
1/23/2021 12:00:00 AM,310,Anderson,1004,262,33,28
1/30/2021 12:00:00 AM,311,Anderson,801,168,32,27
2/6/2021 12:00:00 AM,312,Anderson,563,153,22,25
2/13/2021 12:00:00 AM,313,Anderson,531,106,19,27
2/20/2021 12:00:00 AM,314,Anderson,413,105,15,8
2/27/2021 12:00:00 AM,315,Anderson,316,91,15,15
3/6/2021 12:00:00 AM,316,Anderson,186,65,<5,8
3/13/2021 12:00:00 AM,317,Anderson,137,66,9,7
3/20/2021 12:00:00 AM,318,Anderson,148,55,12,<5
3/27/2021 12:00:00 AM,319,Anderson,108,58,<5,<5
4/3/2021 12:00:00 AM,320,Anderson,123,51,5,<5
4/10/2021 12:00:00 AM,321,Anderson,88,42,<5,<5
4/17/2021 12:00:00 AM,322,Anderson,133,57,<5,<5
4/24/2021 12:00:00 AM,323,Anderson,101,54,10,<5
5/1/2021 12:00:00 AM,324,Anderson,142,45,12,<5
5/8/2021 12:00:00 AM,325,Anderson,110,36,6,<5
5/15/2021 12:00:00 AM,326,Anderson,97,35,7,5
5/22/2021 12:00:00 AM,327,Anderson,64,35,9,<5
5/29/2021 12:00:00 AM,328,Anderson,36,23,<5,<5
6/5/2021 12:00:00 AM,329,Anderson,29,22,<5,<5
6/12/2021 12:00:00 AM,330,Anderson,18,13,<5,<5
6/19/2021 12:00:00 AM,331,Anderson,11,10,<5,
6/26/2021 12:00:00 AM,332,Anderson,8,<5,<5,
7/3/2021 12:00:00 AM,333,Anderson,20,5,<5,
7/10/2021 12:00:00 AM,334,Anderson,32,15,<5,<5
7/17/2021 12:00:00 AM,335,Anderson,57,44,<5,
